Parametric Final Value,Bootstrap Final Value
10433.722067775447,9629.22542214023
13993.605273373772,12558.22806621654
12829.5745162344,8457.499942154187
12360.887507460337,8670.511126260057
11325.017955113053,12991.269613505596
13329.727763496567,11895.850083563082
9573.172713160156,8944.218546892722
9055.131287046876,10334.614716386217
11096.920646135213,12116.201101398612
10998.778080935354,14272.936419609381
12259.88858664713,10378.309861643118
9991.310925607386,10862.32980017022
10770.770779467386,11333.673919769373
8864.343881785462,9428.22891778784
10787.84232303106,9041.517499788051
10939.032325794069,13103.935458378455
11154.37745491328,12821.719313801186
10354.069911419489,10040.849446530601
10996.195751531022,11406.380669446407
12268.58696309356,9637.159714233985
9945.785409610195,11543.835623663328
11393.28023353917,12727.690323899902
11582.701477654742,11206.466296850846
9854.367979519526,11881.192788561631
14017.70470552005,11086.584828932942
11792.567984163124,12378.40983711155
12440.931861601508,10884.252991417898
13973.173816557764,11391.424116247632
9864.198254003564,10365.300488686744
10686.348888517792,11063.045534051698
12224.891069431147,11536.807203017068
11851.530199349587,12826.413894788091
12171.074968364344,10349.558287901065
9886.245254920614,12214.083161934932
10798.505978353256,9800.70090044822
10443.963181040015,13606.306333353159
11459.901028523682,12313.002386212114
13698.511634463255,13170.144500528315
13774.4897073086,12001.848823691944
11123.581822304737,13747.970075225183
10976.367952603594,11027.008589925992
9511.955257940508,13722.07932028114
9480.607861526632,9942.467491285475
11045.35541270557,10722.51533941031
12084.267556767112,10868.593617627184
12119.831606536382,9427.01587941448
9943.348930439082,14343.72122593488
10309.368561881733,10895.549338212051
9227.228173058294,14321.597230741894
12712.21229556743,11972.75348529797
12604.313375012158,13661.029558785218
11465.851329910825,11292.410567167239
12514.759908593971,9798.441400710615
11580.904687861725,9796.697023250332
11633.879846424077,8813.56869010776
10638.099734374635,12370.587407235396
9835.250012598572,11106.140028827318
11475.760196829837,14251.223275689661
11443.491647790715,10484.433311124722
14558.152622855854,12191.812231682692
11636.170700764898,13535.565267719134
9908.85842239092,9124.136646364776
11763.596219424033,8498.61493010776
10361.469468460231,9604.572159685158
9974.049568152335,10255.603480877884
11505.978462288942,9402.508741556767
11843.25362103754,12258.497819497867
11483.096807894786,14660.154657890585
13248.460675709219,11219.797036196227
11093.295432123998,12924.77870152482
12096.35064503571,12779.834884746668
9280.550731682923,12726.667037063846
9866.7804745418,12141.79569289781
8085.181587026319,12532.860071982614
14922.289498830778,12396.277721657307
9242.266367105776,12862.84637007776
8963.352018942884,10707.887327410406
10906.993653356676,8188.27703920555
12699.25754364719,13279.006507267934
12593.606394157794,12862.038043937111
9496.064435698065,13425.306211794432
11374.704584845438,9109.901432575527
11599.411162611807,9651.674124487576
15850.580250682478,10449.819244444529
8689.146984191197,15405.98118942902
12306.246824837015,9282.880630389162
9235.705785557384,11738.561203865524
13226.630767629596,10634.642257981492
11727.296191516294,11558.648244041295
12533.642454759623,12132.17511257172
15491.085478581423,13359.007590536938
7680.712072807947,10680.88371493753
12268.981036865576,10813.601719170383
11485.868798294805,13012.867470768228
14150.919933435625,9903.638833558949
11141.74042825576,11831.897991568136
13724.088700717162,10182.979523029751
12017.240714942891,10855.001264930237
12391.027201918292,10948.697648413776
11637.072394948762,10292.304493266338
10880.359112992835,13079.024330117601
10779.00632540343,12515.449651120809
12176.889677097815,8627.390150768415
10891.34334390408,11512.059329898022
9168.673824875536,12144.20136227362
12047.53108519078,10283.600389546666
10784.822650033646,9139.712867794395
10618.176171268726,13639.250524588857
12771.736821826427,12484.406261024467
11726.95382213424,15709.936208337003
11879.578518080989,10289.729565141572
10205.15568806762,11193.517154649468
11039.90429490275,10984.37744147762
12719.236383678932,9105.736753357338
10036.029697233891,11138.973932483503
10736.624390922065,9658.078337707317
10400.49856713032,12974.448545800142
11882.91810457544,11458.661944950592
15633.818717269382,10438.194499653051
13143.333300945143,13417.065244144329
