Date,Portfolio
2019-12-06,0.6225623003048598
2019-12-09,0.622862010694341
2019-12-10,0.6225532739532746
2019-12-11,0.6225313354459006
2019-12-12,0.6187684758109294
2019-12-13,0.6187670538370776
2019-12-16,0.6143325450589803
2019-12-17,0.6141366029751169
2019-12-18,0.6103301469587289
2019-12-19,0.6103657010988339
2019-12-20,0.6113100342342682
2019-12-23,0.6078725618312911
2019-12-24,0.6075038659471952
2019-12-26,0.6084487582436414
2019-12-27,0.6089589637359824
2019-12-30,0.6108749365686157
2019-12-31,0.609480028451659
2020-01-02,0.6141040972721358
2020-01-03,0.6098613250705566
2020-01-06,0.6088043889046673
2020-01-07,0.6089121893376355
2020-01-08,0.6070741659179987
2020-01-09,0.6087016451003099
2020-01-10,0.6072231641002082
2020-01-13,0.6075753811555118
2020-01-14,0.6062889155757781
2020-01-15,0.609815049427425
2020-01-16,0.6095813796961846
2020-01-17,0.606521278008354
2020-01-21,0.6053720457403009
2020-01-22,0.6064876941012519
2020-01-23,0.6055100662944322
2020-01-24,0.6013185085780328
2020-01-27,0.5990482132783416
2020-01-28,0.598510645564162
2020-01-29,0.5978183820584154
2020-01-30,0.5946824752320029
2020-01-31,0.6000493581139266
2020-02-03,0.599576745835484
2020-02-04,0.5976316269572561
2020-02-05,0.5865518492636054
2020-02-06,0.5876411763207257
2020-02-07,0.5770338301025711
2020-02-10,0.576324588975747
2020-02-11,0.5827876299779734
2020-02-12,0.5786391701373567
2020-02-13,0.5842732513934771
2020-02-14,0.5839678650839701
2020-02-18,0.5832275107009811
2020-02-19,0.5882396026420402
2020-02-20,0.5911984208615617
2020-02-21,0.5940996446581875
2020-02-24,0.6019424786641575
2020-02-25,0.6180248993424959
2020-02-26,0.6157340436188042
2020-02-27,0.6353555636934585
2020-02-28,0.6351441749267375
2020-03-02,0.6516747034355069
2020-03-03,0.6428147248568664
2020-03-04,0.64260254001807
2020-03-05,0.6274888924555211
2020-03-06,0.6207951868575995
2020-03-09,0.6152617646929879
2020-03-10,0.5980931417291959
2020-03-11,0.6202452065404803
2020-03-12,0.6465527561203174
2020-03-13,0.6391052499737283
2020-03-16,0.6359249878740295
2020-03-17,0.6336413370995707
2020-03-18,0.6426827049466387
2020-03-19,0.6429700575926478
2020-03-20,0.6328259401633785
2020-03-23,0.6258166792618973
2020-03-24,0.6301717957402927
2020-03-25,0.6283269491023262
2020-03-26,0.6319810259850218
2020-03-27,0.6317213836264622
2020-03-30,0.6322060623027086
2020-03-31,0.633058586857459
2020-04-01,0.6326854264731682
2020-04-02,0.6336009307387975
2020-04-03,0.6333487919456243
2020-04-06,0.6390786674509427
2020-04-07,0.6388705238364778
2020-04-08,0.6369858164006004
2020-04-09,0.6369481874168259
2020-04-13,0.6367481285998728
2020-04-14,0.6391707450178168
2020-04-15,0.6377655380191707
2020-04-16,0.6383906513266574
2020-04-17,0.6355229049850486
2020-04-20,0.635121116454844
2020-04-21,0.6360023887611491
2020-04-22,0.6368551925288226
2020-04-23,0.6368191787439902
2020-04-24,0.6369354249666358
2020-04-27,0.6358702624428145
2020-04-28,0.636061259298718
2020-04-29,0.6371221141330874
2020-04-30,0.6374157583678784
2020-05-01,0.6374892675563243
2020-05-04,0.6376432048716927
2020-05-05,0.6376803334401331
2020-05-06,0.6379484917430184
2020-05-07,0.6385955277809442
2020-05-08,0.6378748674816082
2020-05-11,0.6381025017862009
2020-05-12,0.6381440809005452
2020-05-13,0.6377507528960001
2020-05-14,0.6380725421031409
2020-05-15,0.638067597698937
2020-05-18,0.6354692860588504
2020-05-19,0.6352496581960553
2020-05-20,0.6356151836562264
2020-05-21,0.6358833300336502
2020-05-22,0.6359289852378119
2020-05-26,0.6347169877180842
2020-05-27,0.6342844362201634
2020-05-28,0.6342234772321977
2020-05-29,0.6344230819603621
2020-06-01,0.634390303260711
2020-06-02,0.6341582318796232
2020-06-03,0.6327190414700987
2020-06-04,0.6331414154908286
2020-06-05,0.632171062840048
2020-06-08,0.6322699117705736
2020-06-09,0.6318694380384212
2020-06-10,0.6312607898116454
2020-06-11,0.6308524057140834
2020-06-12,0.6304156861444804
2020-06-15,0.6308430556302159
2020-06-16,0.6301936813660715
2020-06-17,0.6301786619648556
2020-06-18,0.6301801264408103
2020-06-19,0.6300734925323723
2020-06-22,0.6301703307580903
2020-06-23,0.6301878242936461
2020-06-24,0.6300442411772165
2020-06-25,0.630043320912397
2020-06-26,0.6299318482834635
2020-06-29,0.6296915811897783
2020-06-30,0.6297652000146752
2020-07-01,0.6298357719269814
2020-07-02,0.6293885796030562
2020-07-06,0.6300054659982249
2020-07-07,0.6296987614130873
2020-07-08,0.6297504697059878
2020-07-09,0.6295045336138156
2020-07-10,0.6292366331085517
2020-07-13,0.6296726340563046
2020-07-14,0.6295656441253389
2020-07-15,0.6292551095617436
2020-07-16,0.6293236566886646
2020-07-17,0.6293606620310254
2020-07-20,0.6299402051521923
2020-07-21,0.6299168314157851
2020-07-22,0.6299690676614166
2020-07-23,0.6303027076531444
2020-07-24,0.6304763209285775
2020-07-27,0.6308248226830467
2020-07-28,0.6310166692029833
2020-07-29,0.6310602999913479
2020-07-30,0.630992304745411
2020-07-31,0.631422860047355
2020-08-03,0.6313883389486787
2020-08-04,0.6317401609175539
2020-08-05,0.6321284133373902
2020-08-06,0.6323075653390812
2020-08-07,0.6323956062018492
2020-08-10,0.6321634721192665
2020-08-11,0.6332941476953633
2020-08-12,0.6334889173426083
2020-08-13,0.6334829728919225
2020-08-14,0.6334820515109821
2020-08-17,0.6336892754257084
2020-08-18,0.633689312195459
2020-08-19,0.6339548909610707
2020-08-20,0.6340036601610964
2020-08-21,0.6337642513200369
2020-08-24,0.6326939696153372
2020-08-25,0.6327259198899826
2020-08-26,0.6314586900865647
2020-08-27,0.6315016173440251
2020-08-28,0.6298557370030589
2020-08-31,0.630424544809777
2020-09-01,0.6307989356838523
2020-09-02,0.6326082125589356
2020-09-03,0.6376344848706222
2020-09-04,0.6409617205858482
2020-09-08,0.6491483590155264
2020-09-09,0.6440805913592058
2020-09-10,0.6339286493280833
2020-09-11,0.6378473632502747
2020-09-14,0.6407809205794297
2020-09-15,0.6440411280400242
2020-09-16,0.632010414405727
2020-09-17,0.6329671520382101
2020-09-18,0.6486412253821345
2020-09-21,0.6604885957440676
2020-09-22,0.660123577118898
2020-09-23,0.6669853368721914
2020-09-24,0.6635691484913491
2020-09-25,0.6661717388820465
2020-09-28,0.6664222379130266
2020-09-29,0.6641075716833941
2020-09-30,0.6675051180034594
2020-10-01,0.6663237166436321
2020-10-02,0.6694529082918401
2020-10-05,0.6541382538951622
2020-10-06,0.6554796700070441
2020-10-07,0.6613281912550922
2020-10-08,0.6619755655171569
2020-10-09,0.6654383269704126
2020-10-12,0.6618240715676711
2020-10-13,0.668095921199067
2020-10-14,0.6674700829614988
2020-10-15,0.6784481135249746
2020-10-16,0.6817488539657064
2020-10-19,0.6815675101119286
2020-10-20,0.6790461504860151
2020-10-21,0.6791350236741929
2020-10-22,0.677853715264205
2020-10-23,0.6818325246996609
2020-10-26,0.678804047905285
2020-10-27,0.674515956166255
2020-10-28,0.6803137848788064
2020-10-29,0.681563689616476
2020-10-30,0.6851240933191269
2020-11-02,0.6851094040687321
2020-11-03,0.6842205128259512
2020-11-04,0.6926389323189847
2020-11-05,0.6994142498693848
2020-11-06,0.6996184421853834
2020-11-09,0.6918402986018066
2020-11-10,0.6963180080203752
2020-11-11,0.6962952934107479
2020-11-12,0.6931852420002443
2020-11-13,0.7049910009000221
2020-11-16,0.70627008767549
2020-11-17,0.704539293356027
2020-11-18,0.7026384979510268
2020-11-19,0.7028418928969558
2020-11-20,0.7068344269938469
2020-11-23,0.7079797182470325
2020-11-24,0.7046075396510368
2020-11-25,0.7036350577027563
2020-11-27,0.703980690749589
2020-11-30,0.7044438642122969
2020-12-01,0.7086716609046975
2020-12-02,0.7079229773908983
2020-12-03,0.7149685583129667
2020-12-04,0.7129806579113839
2020-12-07,0.7154754736390682
2020-12-08,0.7190381643693924
2020-12-09,0.7479804130635954
2020-12-10,0.7500578032741633
2020-12-11,0.7498516409619636
2020-12-14,0.7545779052074485
2020-12-15,0.7549983511966087
2020-12-16,0.7551841809487212
2020-12-17,0.7568012047426631
