Date,Portfolio Value
2023-02-13,16166.921377976676
2023-02-14,16193.557937381698
2023-02-15,16205.473714676269
2023-02-16,15977.74902167614
2023-02-17,15957.585321102017
2023-02-21,15648.198081253264
2023-02-22,15662.959200144867
2023-02-23,15767.107861229946
2023-02-24,15568.19257573708
2023-02-27,15637.585605110795
2023-02-28,15629.737533047077
2023-03-01,15543.49985710826
2023-03-02,15601.968966037673
2023-03-03,15891.146551731481
2023-03-06,15868.301655841875
2023-03-07,15704.337062798337
2023-03-08,15740.464167387616
2023-03-09,15565.717263665389
2023-03-10,15551.218626301616
2023-03-13,15619.712706971472
2023-03-14,15770.260841222542
2023-03-15,15828.840014417543
2023-03-16,16043.539059785413
2023-03-17,16040.633130731125
2023-03-20,16091.796327843826
2023-03-21,16187.23584039795
2023-03-22,16081.545523639106
2023-03-23,16176.308119493786
2023-03-24,16232.109488347614
2023-03-27,16119.600107304675
2023-03-28,16098.512319570476
2023-03-29,16265.71428894432
2023-03-30,16379.670651208631
2023-03-31,16594.276792056855
2023-04-03,16635.03471696075
2023-04-04,16628.833757540546
